Ref,Val,Package,PosX,PosY,Rot,Side
"","","",37.715000,52.225000,0.000000,top
"","","",26.300000,54.775000,0.000000,top
"","","",49.271000,15.750000,0.000000,top
"BUT1","T1107A(6x3,8x2,5MM)","T1107A(6x3,8x2,5MM)",5.584000,42.670000,180.000000,top
"C1","220uF/50V/10*10mm","CP_Elec_10x10.5",65.575000,65.098340,90.000000,top
"C2","22uF/6.3V/20%/X5R/C0603","0603",20.188999,40.765000,0.000000,top
"C3","1nF/2000V/10%/X7R/C1206","1206",22.475000,54.608000,-90.000000,top
"C4","NA(1nF/2000V/10%/X7R/C1206)","1206",22.475000,62.228000,90.000000,top
"C5","22uF/6.3V/20%/X5R/C0603","0603",36.064000,35.812000,90.000000,top
"C6","22uF/6.3V/20%/X5R/C0603","0603",34.540000,35.812000,90.000000,top
"C7","22uF/6.3V/20%/X5R/C0603","0603",25.269000,18.667000,180.000000,top
"C8","100nF/50V/20%/Y5V/C0603","0603",40.255000,22.350000,0.000000,top
"C9","27pF/50V/5%/C0G/C0603","0603",25.269000,25.525000,180.000000,top
"C10","27pF/50V/5%/C0G/C0603","0603",40.763000,25.525000,0.000000,top
"C11","330uF/6.3V/20%/X5R/C1210","1210",46.475000,17.727600,90.000000,top
"C12","100nF/50V/20%/Y5V/C0603","0603",36.826000,48.131000,-90.000000,top
"C13","22uF/6.3V/20%/X5R/C0603","0603",39.874000,35.939000,-90.000000,top
"C14","100nF/50V/20%/Y5V/C0603","0603",28.190000,35.812000,-90.000000,top
"C15","100nF/50V/20%/Y5V/C0603","0603",34.921000,45.591000,0.000000,top
"C16","100nF/50V/20%/Y5V/C0603","0603",23.999000,44.956000,180.000000,top
"C17","2.2uF/6.3V/10%/X5R/C0603","0603",23.999000,40.003000,180.000000,top
"C18","100nF/50V/20%/Y5V/C0603","0603",23.999000,41.527000,180.000000,top
"C19","330uF/6.3V/20%/X5R/C1210","1210",46.225000,26.400000,180.000000,top
"C20","NA(10uF/6.3V/20%/X5R/C0603)","0603",36.318000,41.146000,180.000000,top
"C21","330uF/6.3V/20%/X5R/C1210","1210",43.425000,17.727600,90.000000,top
"C22","1uF/C0603","0603",18.538000,21.715000,180.000000,top
"C23","100nF/6.3V/20%/X5R/C0603","0603",38.625000,9.219180,180.000000,top
"C24","47uF/6.3V/20%/X5R/C0805","0805",16.633000,27.176000,0.000000,top
"C25","1uF/6.3V/20%/X5R/C0603","0603",2.285000,7.590000,0.000000,top
"C26","1uF/6.3V/20%/X5R/C0603","0603",17.925000,7.486829,0.000000,top
"C27","1uF/6.3V/20%/X5R/C0603","0603",42.215840,7.583893,0.000000,top
"C28","1uF/6.3V/20%/X5R/C0603","0603",57.955840,7.585112,0.000000,top
"C29","1uF/6.3V/20%/X5R/C0603","0603",10.155840,7.590000,0.000000,top
"C30","1uF/6.3V/20%/X5R/C0603","0603",25.895840,7.586721,0.000000,top
"C31","1uF/6.3V/20%/X5R/C0603","0603",50.084160,7.584115,0.000000,top
"C32","1uF/6.3V/20%/X5R/C0603","0603",65.826560,7.585000,0.000000,top
"CON1","NA(NH1x20)","HN1x20",25.396000,11.809000,0.000000,top
"D1","1N5822/SS34/SMA","SMA-KA",45.970000,33.145000,180.000000,top
"D2","SMBJ6.0A(DO-214AA)","DO214AA_1(K)-2(A)",46.224000,29.843000,180.000000,top
"D3","1N5819S4/SOD123","SOD-123_1C-2A_KA",39.874000,17.016000,-90.000000,top
"D4","1N5819S4/SOD123","SOD-123_1C-2A_KA",37.842000,17.016000,90.000000,top
"D5","BAT54C(SOT23-3)","SOT23-3",16.633000,40.257000,180.000000,top
"FET1","WPM2015-3/TR","SOT23",20.062000,36.320000,90.000000,top
"FET2","WPM2015-3/TR","SOT23",47.748000,36.828000,-90.000000,top
"FID1","Fiducial","Fiducial1x3",7.870000,15.746000,0.000000,top
"FID3","Fiducial","Fiducial1x3",47.825000,63.950000,0.000000,top
"J1","Conn_02x02_P4.20mm_Molex_Horizontal","Molex_Mini-Fit_Jr_5569-04A1_2x02_P4.20mm_Horizontal",57.025000,49.050000,-90.000000,top
"J2","Conn_01x04_P1.00mm_Stemma qt/Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",4.060000,3.440000,0.000000,top
"J3","Conn_01x04_P1.00mm_Stemma qt/Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",19.800000,3.437649,0.000000,top
"J4","Conn_01x04_P1.00mm_Stemma qt/Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",43.990000,3.433893,0.000000,top
"J5","Conn_01x04_P1.00mm_Stemma qt/Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",59.730000,3.435112,0.000000,top
"J6","Conn_01x04_P1.00mm_Stemma qt/Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",11.930000,3.440000,0.000000,top
"J7","Conn_01x04_P1.00mm_Stemma qt/Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",27.670000,3.436721,0.000000,top
"J8","Conn_01x04_P1.00mm_Stemma qt/Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",51.860000,3.434115,0.000000,top
"J9","Conn_01x04_P1.00mm_Stemma qt/Qwiic","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",67.610000,3.435000,0.000000,top
"L1","NA(FB0805/600R/2A)","L_0805_5MIL_DWS",16.506000,37.844000,0.000000,top
"L2","FB0805/600R/2A","L_0805_5MIL_DWS",37.969000,36.193000,90.000000,top
"L3","FB0805/600R/2A","L_0805_5MIL_DWS",16.633000,25.271000,180.000000,top
"LED1","LED/GREEN/0603","LED_0603_KA",45.699500,58.900000,180.000000,top
"Logo-OlimexBIG","","OLIMEX_LOGO_TB",18.919000,15.492000,0.000000,top
"MH1","Mounting_hole_Shield_3.3mm","Mounting_hole_Shield_3.3mm",46.732000,68.705000,0.000000,top
"MH2","Mounting_hole_Shield_3.3mm","Mounting_hole_Shield_3.3mm",3.552000,17.524000,0.000000,top
"MICRO_SD1","TFC-WXCP11-08-LF","TFC-WXCP11-08-LF",6.727000,28.700000,180.000000,top
"PWRLED1","LED/RED/0603","LED_0603_KA",45.699500,54.455000,180.000000,top
"Q1","Q12MHz/20pF/30ppm/2P/HC-49SM(SMD)","Q_49U3HMS",33.016000,27.430000,0.000000,top
