"Id";"Tasarımcı";"Paket";"Miktar";"Tasarım";"Supplier and ref";
1;"MH2,MH1";"Mounting_hole_Shield_3.3mm";2;"Mounting_hole_Shield_3.3mm";;;
2;"C5,C6,C13,C7,C2";"0603";5;"22uF/6.3V/20%/X5R/C0603";;;
3;"C24";"0805";1;"47uF/6.3V/20%/X5R/C0805";;;
4;"C12,C14,C15,C16,C18,C8";"0603";6;"100nF/50V/20%/Y5V/C0603";;;
5;"C17";"0603";1;"2.2uF/6.3V/10%/X5R/C0603";;;
6;"C20";"0603";1;"NA(10uF/6.3V/20%/X5R/C0603)";;;
7;"L2,L3";"L_0805_5MIL_DWS";2;"FB0805/600R/2A";;;
8;"PWRLED1";"LED_0603_KA";1;"LED/RED/0603";;;
9;"R50,R16,R41";"0603";3;"220R/R0603";;;
10;"R4,R5";"0603";2;"330R/R0603";;;
11;"R6,R7,R8,R9";"0603";4;"49.9R/1%/R0603";;;
12;"R10,R17,R11,R51,R2,R21,R19,R26";"0603";8;"10k/R0603";;;
13;"R18";"0603";1;"12.1k/1%/R0603";;;
14;"R14,R15,R1";"0603";3;"1k/R0603";;;
15;"RM2,RM1";"R_MATRIX_4";2;"RA1206_(4X0603)_4B8_2.2k";;;
16;"U6";"ESP-WROOM-32_MODULE";1;"ESP32-WROOM-32D-4MB";;;
17;"U3";"QFN32_EP(33)_5.00x5.00x0.90mm_Pitch_0.50mm";1;"LAN8710A-EZC(QFN32)";;;
18;"MICRO_SD1";"TFC-WXCP11-08-LF";1;"TFC-WXCP11-08-LF";;;
19;"R40";"0603";1;"10R/R0603";;;
20;"BUT1,RST1";"T1107A(6x3,8x2,5MM)";2;"T1107A(6x3,8x2,5MM)";;;
21;"LAN1";"RJLBC-060TC1";1;"RJLD-060TC1(LPJ4013EDNL)";;;
22;"C3";"1206";1;"1nF/2000V/10%/X7R/C1206";;;
23;"C4";"1206";1;"NA(1nF/2000V/10%/X7R/C1206)";;;
24;"R13,R28,R20,R22,R23,R24";"0603";6;"2.2k/R0603";;;
25;"C9,C10";"0603";2;"27pF/50V/5%/C0G/C0603";;;
26;"D1";"SMA-KA";1;"1N5822/SS34/SMA";;;
27;"FET2,FET1";"SOT23";2;"WPM2015-3/TR";;;
28;"Q1";"Q_49U3HMS";1;"Q12MHz/20pF/30ppm/2P/HC-49SM(SMD)";;;
29;"Q2,Q3";"SOT23";2;"BC817-40(SOT23)";;;
30;"R12";"0603";1;"1M/R0603";;;
31;"R52,R35,R34,R33";"0603";4;"NA/R0603";;;
32;"U2";"SSOP-20W";1;"CH340T(SSOP20W)";;;
33;"CON1";"HN1x20";1;"NA(NH1x20)";;;
34;"LED1";"LED_0603_KA";1;"LED/GREEN/0603";;;
35;"D2";"DO214AA_1(K)-2(A)";1;"SMBJ6.0A(DO-214AA)";;;
36;"L1";"L_0805_5MIL_DWS";1;"NA(FB0805/600R/2A)";;;
37;"T1";"SOT23";1;"DTC114YKA";;;
38;"D5";"SOT23-3";1;"BAT54C(SOT23-3)";;;
39;"D4,D3";"SOD-123_1C-2A_KA";2;"1N5819S4/SOD123";;;
40;"FID3";"Fiducial1x3";1;"Fiducial";;;
41;"R3";"0603";1;"0R(Board_Mounted)";;;
42;"C22";"0603";1;"1uF/C0603";;;
43;"R43,R29,R37,R49,R44,R32,R36,R27,R48,R45,R47,R38,R30,R46,R42,R25,R39,R31";"0603";18;"4.7k/R0603";;;
44;"C23";"0603";1;"100nF/6.3V/20%/X5R/C0603";;;
45;"C26,C32,C25,C28,C31,C29,C30,C27";"0603";8;"1uF/6.3V/20%/X5R/C0603";;;
46;"I²C1,I²C0,I²C5,I²C6,I²C3,I²C4,I²C7,I²C2";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";8;"Conn_01x04_P1.00mm_Stemma qt/Qwiic";;;
47;"C19,C11,C21";"1210";3;"330uF/6.3V/20%/X5R/C1210";;;
48;",";"";2;"";;;
49;"U1";"K78122000R3L";1;"K7805-2000R3L";;;
50;"U4";"K78122000R3L";1;"K7803-2000R3L";;;
51;"R53,R54";"0603";2;"5.1k/R0603";;;
52;"REF**,REF**";"Converter_DCDC_RECOM_R-78B-2.0_THT";2;"Converter_DCDC_RECOM_R-78B-2.0_THT";;;
53;"REF**";"Molex_Mini-Fit_Jr_5569-04A2_2x02_P4.20mm_Horizontal";1;"Molex_Mini-Fit_Jr_5569-04A2_2x02_P4.20mm_Horizontal";;;
54;"U5";"TSSOP-24_4.4x7.8mm_P0.65mm";1;"TCA9548APWR";;;
55;"U7";"USB2.0_TYPE-C(A40-00119-A52-12)";1;"USB-C-16P-F(A40-00119-A52-12)";;;
56;"GND1";"TESTPAD_40-ROUND";1;"TESTPAD";;;
57;"C1";"CP_Elec_10x10.5";1;"220uF/50V/10*10mm";;;
58;"J1";"Molex_Mini-Fit_Jr_5569-04A1_2x02_P4.20mm_Horizontal";1;"Conn_02x02_P4.20mm_Molex_Horizontal";;;
59;"Sign-Antistatic";"LOGO_ANTISTATIC_1";1;"Val**";;;
60;"Sign_Pb-Free";"LOGO_PBFREE";1;"";;;
61;"Sign-RecyclBin";"LOGO_RECYCLEBIN_1";1;"";;;
62;"Sign_RoHS";"LOGO_ROHS_1";1;"Val**";;;
63;"PHY_RST1";"SJ";1;"Opened";;;
64;"LED_E1";"SJ";1;"Closed";;;
