"Source:"	"F:\OneDrive\proje\ESP32-GATEWAY-master\HARDWARE\Hardware revision G2 type c\Hardware revision G2\ESP32-GATEWAY_Rev_G.kicad_sch"
"Date:"	"19.11.2022 13:43:11"
"Tool:"	"Eeschema (6.0.8)"
"Component Count:"	"133"
"Ref"	"Value"	"Part"	"Footprint"	"Description"	"Vendor"
"BUT1"	"T1107A(6x3,8x2,5MM)"	"ESP32-GATEWAY_Rev_G:SIDE_WTCM-TR(3x4)"	"OLIMEX_Buttons-FP:T1107A(6x3,8x2,5MM)"	""	""
"C1"	"220uF/50V/10*10mm"	"Device:C_Polarized"	"Capacitor_SMD:CP_Elec_10x10.5"	"Polarized capacitor"	""
"C2"	"22uF/6.3V/20%/X5R/C0603"	"ESP32-GATEWAY_Rev_G:C"	"OLIMEX_RLC-FP:C_0603_5MIL_DWS"	""	""
"C3"	"1nF/2000V/10%/X7R/C1206"	"ESP32-GATEWAY_Rev_G:C"	"OLIMEX_RLC-FP:C_1206_5MIL_DWS_ISO"	""	""
"C4"	"NA(1nF/2000V/10%/X7R/C1206)"	"ESP32-GATEWAY_Rev_G:C"	"OLIMEX_RLC-FP:C_1206_5MIL_DWS_ISO"	""	""
"C5"	"22uF/6.3V/20%/X5R/C0603"	"ESP32-GATEWAY_Rev_G:C"	"OLIMEX_RLC-FP:C_0603_5MIL_DWS"	""	""
"C6"	"22uF/6.3V/20%/X5R/C0603"	"ESP32-GATEWAY_Rev_G:C"	"OLIMEX_RLC-FP:C_0603_5MIL_DWS"	""	""
"C7"	"22uF/6.3V/20%/X5R/C0603"	"ESP32-GATEWAY_Rev_G:C"	"OLIMEX_RLC-FP:C_0603_5MIL_DWS"	""	""
"C8"	"100nF/50V/20%/Y5V/C0603"	"ESP32-GATEWAY_Rev_G:C"	"OLIMEX_RLC-FP:C_0603_5MIL_DWS"	""	""
"C9"	"27pF/50V/5%/C0G/C0603"	"ESP32-GATEWAY_Rev_G:C"	"OLIMEX_RLC-FP:C_0603_5MIL_DWS"	""	""
